estimator,lib,function,mean,stdev,n_samples,n_features,hyperparams_digest,dataset_digest,algorithm,init,max_iter,n_clusters,n_init,tol,n_iter,adjusted_rand_score
KMeans,sklearn,fit,0.03804610859997411,0.04755333704304069,10000,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,d20d008faefbbe0f931b8b798b404983,full,k-means++,30,3,1,1e-16,30.0,
KMeans,sklearn,predict,0.00029430819997742217,5.210650168433041e-05,1000,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,ebe3c5ddf180ac6a272cdd05c473421f,full,k-means++,30,3,1,1e-16,,0.0007974710536913752
KMeans,sklearn,predict,0.00024967550002656934,3.127575098982015e-05,1,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,ad6352385cc5e69d5c24fad28c7fd226,full,k-means++,30,3,1,1e-16,,0.0007974710536913752
KMeans,sklearn,fit,0.0192001747999484,0.0013815943747999269,10000,2,68aceadd2a8235e558feb66c2b210b26,d20d008faefbbe0f931b8b798b404983,full,k-means++,30,10,1,1e-16,30.0,
KMeans,sklearn,predict,0.007063256100036597,0.0018676951176067023,1000,2,68aceadd2a8235e558feb66c2b210b26,ebe3c5ddf180ac6a272cdd05c473421f,full,k-means++,30,10,1,1e-16,,0.0012346984127173278
KMeans,sklearn,predict,0.00024577509998380265,3.053327876592648e-05,1,2,68aceadd2a8235e558feb66c2b210b26,ad6352385cc5e69d5c24fad28c7fd226,full,k-means++,30,10,1,1e-16,,0.0012346984127173278
KMeans,sklearn,fit,0.33063505400004944,0.0069833955721555025,10000,2,f449ed38cce17d6d59193092d5379936,d20d008faefbbe0f931b8b798b404983,full,k-means++,30,300,1,1e-16,27.0,
KMeans,sklearn,predict,0.0007514533999938066,9.199754386579717e-05,1000,2,f449ed38cce17d6d59193092d5379936,ebe3c5ddf180ac6a272cdd05c473421f,full,k-means++,30,300,1,1e-16,,0.0001540365793870908
KMeans,sklearn,predict,0.0002573749000021053,3.6593258601870454e-05,1,2,f449ed38cce17d6d59193092d5379936,ad6352385cc5e69d5c24fad28c7fd226,full,k-means++,30,300,1,1e-16,,0.0001540365793870908
KMeans,sklearn,fit,0.009403195200025038,0.0008073978596149948,10000,2,ec2f2d2e5e2eb5881e2e08915f1f289b,d20d008faefbbe0f931b8b798b404983,full,random,30,3,1,1e-16,30.0,
KMeans,sklearn,predict,0.0002785260999644379,4.287446612585482e-05,1000,2,ec2f2d2e5e2eb5881e2e08915f1f289b,ebe3c5ddf180ac6a272cdd05c473421f,full,random,30,3,1,1e-16,,0.0008564250971411272
KMeans,sklearn,predict,0.0002454442999805906,3.8997124082823836e-05,1,2,ec2f2d2e5e2eb5881e2e08915f1f289b,ad6352385cc5e69d5c24fad28c7fd226,full,random,30,3,1,1e-16,,0.0008564250971411272
KMeans,sklearn,fit,0.011593142299989267,0.0003119089437717624,10000,2,5c687c81e2a95d658bc3d372ce7a1261,d20d008faefbbe0f931b8b798b404983,full,random,30,10,1,1e-16,30.0,
KMeans,sklearn,predict,0.00028786679997665486,5.943988202753945e-05,1000,2,5c687c81e2a95d658bc3d372ce7a1261,ebe3c5ddf180ac6a272cdd05c473421f,full,random,30,10,1,1e-16,,0.0008699135572191833
KMeans,sklearn,predict,0.00024807439995129245,3.467609547054778e-05,1,2,5c687c81e2a95d658bc3d372ce7a1261,ad6352385cc5e69d5c24fad28c7fd226,full,random,30,10,1,1e-16,,0.0008699135572191833
KMeans,sklearn,fit,0.1391014658000131,0.0074665013642853054,10000,2,a4e5137c99ac1ad5f99c6f222460f561,d20d008faefbbe0f931b8b798b404983,full,random,30,300,1,1e-16,30.0,
KMeans,sklearn,predict,0.0007084011000188184,0.0001007117488923609,1000,2,a4e5137c99ac1ad5f99c6f222460f561,ebe3c5ddf180ac6a272cdd05c473421f,full,random,30,300,1,1e-16,,-0.00038297121381097995
KMeans,sklearn,predict,0.0002733957000145892,3.6861444480146765e-05,1,2,a4e5137c99ac1ad5f99c6f222460f561,ad6352385cc5e69d5c24fad28c7fd226,full,random,30,300,1,1e-16,,-0.00038297121381097995
KMeans,sklearn,fit,0.15383260040002825,0.007506391145041905,10000,100,9a474b3f82d9a6d1e1d7aa2ee4c803a0,7c1b7a5104d3fe0053bf0bbabfb80255,full,k-means++,30,3,1,1e-16,30.0,
KMeans,sklearn,predict,0.0005974844999855122,9.108586237032128e-05,1000,100,9a474b3f82d9a6d1e1d7aa2ee4c803a0,d78c808283c44fd8c479cfbd032dccee,full,k-means++,30,3,1,1e-16,,0.0009754652248125024
KMeans,sklearn,predict,0.00027369599997655313,2.717944629838443e-05,1,100,9a474b3f82d9a6d1e1d7aa2ee4c803a0,f2bb6b488fc39b14f2f89a65339c1be5,full,k-means++,30,3,1,1e-16,,0.0009754652248125024
KMeans,sklearn,fit,0.14229264919997603,0.02998516877638926,10000,100,68aceadd2a8235e558feb66c2b210b26,7c1b7a5104d3fe0053bf0bbabfb80255,full,k-means++,30,10,1,1e-16,30.0,
KMeans,sklearn,predict,0.0005856036000068343,8.763136207341295e-05,1000,100,68aceadd2a8235e558feb66c2b210b26,d78c808283c44fd8c479cfbd032dccee,full,k-means++,30,10,1,1e-16,,0.0027688337210872356
KMeans,sklearn,predict,0.00022909300002993405,5.706532475844216e-05,1,100,68aceadd2a8235e558feb66c2b210b26,f2bb6b488fc39b14f2f89a65339c1be5,full,k-means++,30,10,1,1e-16,,0.0027688337210872356
KMeans,sklearn,fit,0.8342930810000325,0.012798772587260233,10000,100,f449ed38cce17d6d59193092d5379936,7c1b7a5104d3fe0053bf0bbabfb80255,full,k-means++,30,300,1,1e-16,20.0,
KMeans,sklearn,predict,0.008260236599949167,0.003199188813999508,1000,100,f449ed38cce17d6d59193092d5379936,d78c808283c44fd8c479cfbd032dccee,full,k-means++,30,300,1,1e-16,,0.0025345348605478554
KMeans,sklearn,predict,0.0003347594000388199,4.178344045007776e-05,1,100,f449ed38cce17d6d59193092d5379936,f2bb6b488fc39b14f2f89a65339c1be5,full,k-means++,30,300,1,1e-16,,0.0025345348605478554
KMeans,sklearn,fit,0.05327223359997788,0.0016864117940023596,10000,100,ec2f2d2e5e2eb5881e2e08915f1f289b,7c1b7a5104d3fe0053bf0bbabfb80255,full,random,30,3,1,1e-16,30.0,
KMeans,sklearn,predict,0.0006043349000037779,7.549614774004173e-05,1000,100,ec2f2d2e5e2eb5881e2e08915f1f289b,d78c808283c44fd8c479cfbd032dccee,full,random,30,3,1,1e-16,,0.0016178128400164062
KMeans,sklearn,predict,0.00025049439996109867,3.530211892997037e-05,1,100,ec2f2d2e5e2eb5881e2e08915f1f289b,f2bb6b488fc39b14f2f89a65339c1be5,full,random,30,3,1,1e-16,,0.0016178128400164062
KMeans,sklearn,fit,0.056116167800018955,0.0015922784773025659,10000,100,5c687c81e2a95d658bc3d372ce7a1261,7c1b7a5104d3fe0053bf0bbabfb80255,full,random,30,10,1,1e-16,30.0,
KMeans,sklearn,predict,0.0005926941999859992,7.900297053509507e-05,1000,100,5c687c81e2a95d658bc3d372ce7a1261,d78c808283c44fd8c479cfbd032dccee,full,random,30,10,1,1e-16,,0.00376351128560536
KMeans,sklearn,predict,0.0002558448000172575,3.075885100934995e-05,1,100,5c687c81e2a95d658bc3d372ce7a1261,f2bb6b488fc39b14f2f89a65339c1be5,full,random,30,10,1,1e-16,,0.00376351128560536
KMeans,sklearn,fit,0.25577744770000665,0.0021649603162499356,10000,100,a4e5137c99ac1ad5f99c6f222460f561,7c1b7a5104d3fe0053bf0bbabfb80255,full,random,30,300,1,1e-16,24.0,
KMeans,sklearn,predict,0.006459422699981588,0.0029486889898265823,1000,100,a4e5137c99ac1ad5f99c6f222460f561,d78c808283c44fd8c479cfbd032dccee,full,random,30,300,1,1e-16,,0.0045369131973226765
KMeans,sklearn,predict,0.00032167849999495954,2.8068363352972123e-05,1,100,a4e5137c99ac1ad5f99c6f222460f561,f2bb6b488fc39b14f2f89a65339c1be5,full,random,30,300,1,1e-16,,0.0045369131973226765
KMeans,sklearn,fit,0.6541148987000043,0.010949533550630717,1000000,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,b123d1b4e4dd6c234920cc529518614f,full,k-means++,30,3,1,1e-16,30.0,
KMeans,sklearn,predict,0.00028455570002279275,5.7764971868981794e-05,1000,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,ebe3c5ddf180ac6a272cdd05c473421f,full,k-means++,30,3,1,1e-16,,0.00025286449705639685
KMeans,sklearn,predict,0.0002440133999698446,3.543459281003317e-05,1,2,9a474b3f82d9a6d1e1d7aa2ee4c803a0,ad6352385cc5e69d5c24fad28c7fd226,full,k-means++,30,3,1,1e-16,,0.00025286449705639685
KMeans,sklearn,fit,1.1548791942000207,0.010920973017537267,1000000,2,68aceadd2a8235e558feb66c2b210b26,b123d1b4e4dd6c234920cc529518614f,full,k-means++,30,10,1,1e-16,30.0,
KMeans,sklearn,predict,0.000352780299999722,0.00011197950065652784,1000,2,68aceadd2a8235e558feb66c2b210b26,ebe3c5ddf180ac6a272cdd05c473421f,full,k-means++,30,10,1,1e-16,,0.00017721416725897997
KMeans,sklearn,predict,0.0002484943000126805,3.805668638898447e-05,1,2,68aceadd2a8235e558feb66c2b210b26,ad6352385cc5e69d5c24fad28c7fd226,full,k-means++,30,10,1,1e-16,,0.00017721416725897997
KMeans,sklearn,fit,30.916270163000036,0.0,1000000,2,f449ed38cce17d6d59193092d5379936,b123d1b4e4dd6c234920cc529518614f,full,k-means++,30,300,1,1e-16,30.0,
KMeans,sklearn,predict,0.0007172417999981917,9.80860994148232e-05,1000,2,f449ed38cce17d6d59193092d5379936,ebe3c5ddf180ac6a272cdd05c473421f,full,k-means++,30,300,1,1e-16,,-8.841754929851274e-05
KMeans,sklearn,predict,0.0002462141999785672,3.191652178060869e-05,1,2,f449ed38cce17d6d59193092d5379936,ad6352385cc5e69d5c24fad28c7fd226,full,k-means++,30,300,1,1e-16,,-8.841754929851274e-05
KMeans,sklearn,fit,0.5924448584000175,0.017873584435304735,1000000,2,ec2f2d2e5e2eb5881e2e08915f1f289b,b123d1b4e4dd6c234920cc529518614f,full,random,30,3,1,1e-16,30.0,
KMeans,sklearn,predict,0.00030388290001610586,8.852140213620395e-05,1000,2,ec2f2d2e5e2eb5881e2e08915f1f289b,ebe3c5ddf180ac6a272cdd05c473421f,full,random,30,3,1,1e-16,,6.173876084427361e-05
KMeans,sklearn,predict,0.0002450885000143899,2.784303458722213e-05,1,2,ec2f2d2e5e2eb5881e2e08915f1f289b,ad6352385cc5e69d5c24fad28c7fd226,full,random,30,3,1,1e-16,,6.173876084427361e-05
KMeans,sklearn,fit,0.8159346710000136,0.020876606940530052,1000000,2,5c687c81e2a95d658bc3d372ce7a1261,b123d1b4e4dd6c234920cc529518614f,full,random,30,10,1,1e-16,30.0,
KMeans,sklearn,predict,0.0003058696000380223,6.379702619452725e-05,1000,2,5c687c81e2a95d658bc3d372ce7a1261,ebe3c5ddf180ac6a272cdd05c473421f,full,random,30,10,1,1e-16,,0.00015444268455052583
KMeans,sklearn,predict,0.0002445156999783649,3.260013531662552e-05,1,2,5c687c81e2a95d658bc3d372ce7a1261,ad6352385cc5e69d5c24fad28c7fd226,full,random,30,10,1,1e-16,,0.00015444268455052583
KMeans,sklearn,fit,12.288941991666661,0.17145180445146568,1000000,2,a4e5137c99ac1ad5f99c6f222460f561,b123d1b4e4dd6c234920cc529518614f,full,random,30,300,1,1e-16,30.0,
KMeans,sklearn,predict,0.0007656884000198261,0.00010287964367356863,1000,2,a4e5137c99ac1ad5f99c6f222460f561,ebe3c5ddf180ac6a272cdd05c473421f,full,random,30,300,1,1e-16,,0.0007298325584461527
KMeans,sklearn,predict,0.00025336600003811327,3.63685414707344e-05,1,2,a4e5137c99ac1ad5f99c6f222460f561,ad6352385cc5e69d5c24fad28c7fd226,full,random,30,300,1,1e-16,,0.0007298325584461527
KMeans,sklearn,fit,6.660498192999967,0.07953531300631056,1000000,100,9a474b3f82d9a6d1e1d7aa2ee4c803a0,f792a5be572047653a970ae14d72c43c,full,k-means++,30,3,1,1e-16,30.0,
KMeans,sklearn,predict,0.000655671300000904,8.906244943846589e-05,1000,100,9a474b3f82d9a6d1e1d7aa2ee4c803a0,d78c808283c44fd8c479cfbd032dccee,full,k-means++,30,3,1,1e-16,,0.002048114132232868
KMeans,sklearn,predict,0.00023828499997762264,2.5111555162645473e-05,1,100,9a474b3f82d9a6d1e1d7aa2ee4c803a0,f2bb6b488fc39b14f2f89a65339c1be5,full,k-means++,30,3,1,1e-16,,0.002048114132232868
KMeans,sklearn,fit,8.250213755500113,0.05000274880450086,1000000,100,68aceadd2a8235e558feb66c2b210b26,f792a5be572047653a970ae14d72c43c,full,k-means++,30,10,1,1e-16,30.0,
KMeans,sklearn,predict,0.000612708699986797,6.781110884433204e-05,1000,100,68aceadd2a8235e558feb66c2b210b26,d78c808283c44fd8c479cfbd032dccee,full,k-means++,30,10,1,1e-16,,0.0070789028702448065
KMeans,sklearn,predict,0.00024091510003927398,3.328233714096036e-05,1,100,68aceadd2a8235e558feb66c2b210b26,f2bb6b488fc39b14f2f89a65339c1be5,full,k-means++,30,10,1,1e-16,,0.0070789028702448065
KMeans,sklearn,fit,101.57578361300011,0.0,1000000,100,f449ed38cce17d6d59193092d5379936,f792a5be572047653a970ae14d72c43c,full,k-means++,30,300,1,1e-16,30.0,
KMeans,sklearn,predict,0.009843531500018798,0.0007763027552955999,1000,100,f449ed38cce17d6d59193092d5379936,d78c808283c44fd8c479cfbd032dccee,full,k-means++,30,300,1,1e-16,,0.27129820688772655
KMeans,sklearn,predict,0.00034732189992610075,3.522380192258355e-05,1,100,f449ed38cce17d6d59193092d5379936,f2bb6b488fc39b14f2f89a65339c1be5,full,k-means++,30,300,1,1e-16,,0.27129820688772655
KMeans,sklearn,fit,6.0585860250000225,0.0221338972935135,1000000,100,ec2f2d2e5e2eb5881e2e08915f1f289b,f792a5be572047653a970ae14d72c43c,full,random,30,3,1,1e-16,30.0,
KMeans,sklearn,predict,0.0005898973000512342,0.00010235985011193126,1000,100,ec2f2d2e5e2eb5881e2e08915f1f289b,d78c808283c44fd8c479cfbd032dccee,full,random,30,3,1,1e-16,,0.002328755223755162
KMeans,sklearn,predict,0.0002435053999761294,3.5562876919610165e-05,1,100,ec2f2d2e5e2eb5881e2e08915f1f289b,f2bb6b488fc39b14f2f89a65339c1be5,full,random,30,3,1,1e-16,,0.002328755223755162
KMeans,sklearn,fit,6.362464671999987,0.035466544742624166,1000000,100,5c687c81e2a95d658bc3d372ce7a1261,f792a5be572047653a970ae14d72c43c,full,random,30,10,1,1e-16,30.0,
KMeans,sklearn,predict,0.0005948274999809655,7.161973297464561e-05,1000,100,5c687c81e2a95d658bc3d372ce7a1261,d78c808283c44fd8c479cfbd032dccee,full,random,30,10,1,1e-16,,0.006619236980255588
KMeans,sklearn,predict,0.00024727549998715403,3.239242608201375e-05,1,100,5c687c81e2a95d658bc3d372ce7a1261,f2bb6b488fc39b14f2f89a65339c1be5,full,random,30,10,1,1e-16,,0.006619236980255588
KMeans,sklearn,fit,32.38677954400009,0.0,1000000,100,a4e5137c99ac1ad5f99c6f222460f561,f792a5be572047653a970ae14d72c43c,full,random,30,300,1,1e-16,30.0,
KMeans,sklearn,predict,0.010026533300015216,0.0015505351877723784,1000,100,a4e5137c99ac1ad5f99c6f222460f561,d78c808283c44fd8c479cfbd032dccee,full,random,30,300,1,1e-16,,0.3108504560666131
KMeans,sklearn,predict,0.00045726890007244945,2.699976840357327e-05,1,100,a4e5137c99ac1ad5f99c6f222460f561,f2bb6b488fc39b14f2f89a65339c1be5,full,random,30,300,1,1e-16,,0.3108504560666131
